group,function,value,sample_time_nanos,iteration_count
reduce1000,,,6181736.0,1
reduce1000,,,12567145.0,2
reduce1000,,,18355670.0,3
reduce1000,,,24684616.0,4
reduce1000,,,31442256.0,5
reduce1000,,,37521608.0,6
reduce1000,,,43194388.0,7
reduce1000,,,48533964.0,8
reduce1000,,,54297516.0,9
reduce1000,,,60279111.0,10
reduce1000,,,67133766.0,11
reduce1000,,,72425257.0,12
reduce1000,,,78331955.0,13
reduce1000,,,85436201.0,14
reduce1000,,,91840168.0,15
reduce1000,,,96784982.0,16
reduce1000,,,102263969.0,17
reduce1000,,,110800580.0,18
reduce1000,,,117271501.0,19
reduce1000,,,121340455.0,20
reduce1000,,,128440239.0,21
reduce1000,,,136285875.0,22
reduce1000,,,148744271.0,23
reduce1000,,,142832743.0,24
reduce1000,,,161802046.0,25
reduce1000,,,161857489.0,26
reduce1000,,,203325861.0,27
reduce1000,,,169072945.0,28
reduce1000,,,174524029.0,29
reduce1000,,,179505329.0,30
reduce1000,,,184783501.0,31
reduce1000,,,200030473.0,32
reduce1000,,,196695149.0,33
reduce1000,,,203446142.0,34
reduce1000,,,209367649.0,35
reduce1000,,,216877503.0,36
reduce1000,,,220353547.0,37
reduce1000,,,224277565.0,38
reduce1000,,,228373654.0,39
reduce1000,,,231450500.0,40
reduce1000,,,235896478.0,41
reduce1000,,,244447238.0,42
reduce1000,,,249472783.0,43
reduce1000,,,254701824.0,44
reduce1000,,,261330186.0,45
reduce1000,,,266548868.0,46
reduce1000,,,272985680.0,47
reduce1000,,,278261629.0,48
reduce1000,,,283758623.0,49
reduce1000,,,291177529.0,50
reduce1000,,,296152520.0,51
reduce1000,,,300975764.0,52
reduce1000,,,309524431.0,53
reduce1000,,,314348626.0,54
reduce1000,,,319215084.0,55
reduce1000,,,324006127.0,56
reduce1000,,,330520873.0,57
reduce1000,,,336658996.0,58
reduce1000,,,341982653.0,59
reduce1000,,,351769818.0,60
reduce1000,,,360507697.0,61
reduce1000,,,400336545.0,62
reduce1000,,,404413231.0,63
reduce1000,,,381025999.0,64
reduce1000,,,406534935.0,65
reduce1000,,,399984382.0,66
reduce1000,,,403381736.0,67
reduce1000,,,404352113.0,68
reduce1000,,,410359011.0,69
reduce1000,,,420030408.0,70
reduce1000,,,425794923.0,71
reduce1000,,,425037531.0,72
reduce1000,,,438729446.0,73
reduce1000,,,466634357.0,74
reduce1000,,,504298323.0,75
reduce1000,,,520652306.0,76
reduce1000,,,560498738.0,77
reduce1000,,,593455276.0,78
reduce1000,,,552666765.0,79
reduce1000,,,547316173.0,80
reduce1000,,,710899055.0,81
reduce1000,,,678482230.0,82
reduce1000,,,659578698.0,83
reduce1000,,,805929198.0,84
reduce1000,,,712477908.0,85
reduce1000,,,773426533.0,86
reduce1000,,,646943724.0,87
reduce1000,,,611776594.0,88
reduce1000,,,574282305.0,89
reduce1000,,,575777872.0,90
reduce1000,,,560439197.0,91
reduce1000,,,567025179.0,92
reduce1000,,,559064343.0,93
reduce1000,,,567830376.0,94
reduce1000,,,572373900.0,95
reduce1000,,,588150263.0,96
reduce1000,,,596277405.0,97
reduce1000,,,596462241.0,98
reduce1000,,,594534057.0,99
reduce1000,,,639878139.0,100
