group,function,value,sample_time_nanos,iteration_count
reduce10000,,,63173041.0,1
reduce10000,,,127141446.0,2
reduce10000,,,189186802.0,3
reduce10000,,,247789978.0,4
reduce10000,,,310544151.0,5
reduce10000,,,366270131.0,6
reduce10000,,,431438961.0,7
reduce10000,,,495724232.0,8
reduce10000,,,556086113.0,9
reduce10000,,,621231172.0,10
reduce10000,,,672884684.0,11
reduce10000,,,721451709.0,12
reduce10000,,,767843365.0,13
reduce10000,,,814305107.0,14
reduce10000,,,874517706.0,15
reduce10000,,,943221102.0,16
reduce10000,,,1006132319.0,17
reduce10000,,,1115112609.0,18
reduce10000,,,1167321137.0,19
reduce10000,,,1418378938.0,20
reduce10000,,,1399331701.0,21
reduce10000,,,1375155472.0,22
reduce10000,,,1375006006.0,23
reduce10000,,,1394345993.0,24
reduce10000,,,1449790384.0,25
reduce10000,,,1537709673.0,26
reduce10000,,,1568353775.0,27
reduce10000,,,1686893413.0,28
reduce10000,,,1697584065.0,29
reduce10000,,,1765636608.0,30
reduce10000,,,2008059720.0,31
reduce10000,,,2365305223.0,32
reduce10000,,,2298756065.0,33
reduce10000,,,2232919891.0,34
reduce10000,,,2250080187.0,35
reduce10000,,,2308586082.0,36
reduce10000,,,2401475870.0,37
reduce10000,,,2474995373.0,38
reduce10000,,,2509572174.0,39
reduce10000,,,2722023300.0,40
reduce10000,,,3573693557.0,41
reduce10000,,,4019987679.0,42
reduce10000,,,3259491672.0,43
reduce10000,,,2901896448.0,44
reduce10000,,,3098959715.0,45
reduce10000,,,3113660087.0,46
reduce10000,,,3177882515.0,47
reduce10000,,,3133552686.0,48
reduce10000,,,3642813346.0,49
reduce10000,,,3248552401.0,50
reduce10000,,,3351501945.0,51
reduce10000,,,3452237703.0,52
reduce10000,,,3560655548.0,53
reduce10000,,,3696090286.0,54
reduce10000,,,3593443830.0,55
reduce10000,,,3909658792.0,56
reduce10000,,,4444004194.0,57
reduce10000,,,5378767441.0,58
reduce10000,,,3779433731.0,59
reduce10000,,,4606772507.0,60
reduce10000,,,5091974447.0,61
reduce10000,,,4077523258.0,62
reduce10000,,,3847228662.0,63
reduce10000,,,4020368919.0,64
reduce10000,,,3833232368.0,65
reduce10000,,,3832917683.0,66
reduce10000,,,3895379190.0,67
reduce10000,,,3965476576.0,68
reduce10000,,,4099180478.0,69
reduce10000,,,4085600950.0,70
reduce10000,,,4390688146.0,71
reduce10000,,,4625343252.0,72
reduce10000,,,4742970011.0,73
reduce10000,,,4341432720.0,74
reduce10000,,,4372389261.0,75
reduce10000,,,4459081710.0,76
reduce10000,,,4776245600.0,77
reduce10000,,,4807752892.0,78
reduce10000,,,4659517725.0,79
reduce10000,,,5099025982.0,80
reduce10000,,,6838381739.0,81
reduce10000,,,5499299334.0,82
reduce10000,,,6388970335.0,83
reduce10000,,,4917518868.0,84
reduce10000,,,5667443480.0,85
reduce10000,,,6227691580.0,86
reduce10000,,,5254429513.0,87
reduce10000,,,5349232916.0,88
reduce10000,,,5911552245.0,89
reduce10000,,,5945755637.0,90
reduce10000,,,6385530231.0,91
reduce10000,,,7187264493.0,92
reduce10000,,,7314500708.0,93
reduce10000,,,6629808383.0,94
reduce10000,,,6695029853.0,95
reduce10000,,,6446456461.0,96
reduce10000,,,6493853788.0,97
reduce10000,,,6300800578.0,98
reduce10000,,,6467563410.0,99
reduce10000,,,6461229972.0,100
